HEADER	 
SNID:	20898353
SNTYPE:	101
VARLIST:	MJD	FLT	FIELD	FLUXCAL	FLUXCALERR
OBS:	57434.1694	r	NULL	-172.43343	157.51718
OBS:	57437.1869	r	NULL	-213.89865	167.53435
OBS:	57437.1927	g	NULL	-207.62834	141.4434
OBS:	57440.1246	g	NULL	65.70581	125.95492
OBS:	57444.1282	g	NULL	-30.139282	63.808
OBS:	57453.1314	g	NULL	84.96485	69.10951
OBS:	57453.1507	r	NULL	-218.02318	109.91837
OBS:	57456.1287	r	NULL	-102.14545	92.040504
OBS:	57456.1504	g	NULL	-74.224724	87.990234
OBS:	57461.1298	g	NULL	-116.927536	111.14708
OBS:	57600.4963	r	NULL	-54.53807	92.76099
OBS:	57603.483	r	NULL	1.5667452	79.814995
OBS:	57606.4826	r	NULL	5.7618923	71.222275
OBS:	57609.4814	r	NULL	47.95134	68.44361
OBS:	57612.4826	g	NULL	-9.004464	61.879074
OBS:	57612.5035	r	NULL	224.66562	154.72786
OBS:	57615.4197	g	NULL	-110.44393	87.5755
OBS:	57615.5036	r	NULL	65.3082	125.526245
OBS:	57618.5051	r	NULL	148.67792	142.1166
OBS:	57622.4411	r	NULL	214.86723	140.01074
OBS:	57629.4819	g	NULL	-74.45579	59.169514
OBS:	57629.5026	r	NULL	-128.6526	67.23321
OBS:	57632.4807	g	NULL	20.343567	49.00354
OBS:	57635.4397	r	NULL	171.05453	61.311287
OBS:	57635.4812	g	NULL	160.02182	50.72867
OBS:	57638.4216	g	NULL	240.46783	55.635677
OBS:	57638.4596	r	NULL	265.65643	56.967564
OBS:	57641.459	r	NULL	412.35733	55.235725
OBS:	57644.3723	g	NULL	607.6229	103.98136
OBS:	57647.4385	r	NULL	572.60486	148.50812
OBS:	57647.4605	g	NULL	936.7543	108.67484
OBS:	57650.4395	r	NULL	519.1949	164.48416
OBS:	57653.4757	g	NULL	987.1268	87.51142
OBS:	57656.4484	g	NULL	571.2804	59.62594
OBS:	57659.4182	r	NULL	612.58154	54.180122
OBS:	57662.3573	g	NULL	347.72583	55.55403
OBS:	57662.3989	r	NULL	486.7102	56.835007
OBS:	57668.3769	r	NULL	379.03055	56.530933
OBS:	57668.4161	g	NULL	217.1621	50.18974
OBS:	57671.401	r	NULL	290.94717	56.46049
OBS:	57674.3968	g	NULL	61.291813	77.82461
OBS:	57681.3934	r	NULL	248.11157	104.25681
OBS:	57684.3356	r	NULL	136.40953	61.959118
OBS:	57687.3354	r	NULL	167.90532	56.44616
OBS:	57687.3601	g	NULL	47.704037	50.737514
OBS:	57690.3541	r	NULL	33.16739	57.689304
OBS:	57693.3148	r	NULL	282.01785	58.938995
OBS:	57693.3479	g	NULL	45.131252	51.95327
OBS:	57697.3159	r	NULL	33.7969	56.041924
OBS:	57697.3382	g	NULL	-19.84061	50.66248
OBS:	57703.2963	r	NULL	151.35446	114.611786
OBS:	57703.3181	g	NULL	94.06585	102.377846
